Music Theatre Online,Ajax XML Encoder (AXE),1
Music Theatre Online,Born-Digital Literary Materials,1
Music Theatre Online,"Soweto `76, A Living Digital Archive",1
Music Theatre Online,Corpora Space,1
Music Theatre Online,ANGLES,2
Music Theatre Online,Off the Tracks,1
Music Theatre Online,Foreign Literatures in America,1
Music Theatre Online,BrailleSC,1
Music Theatre Online,"“O Say Can You See”: the Early Washington, D.C. Law and Family Project",1
Music Theatre Online,Building an Accessible Future for the Humanities,1
Music Theatre Online,Digital Humanities Incubator (2013 – 14),1
Music Theatre Online,Transforming The Afro-Caribbean World,1
Music Theatre Online,Digital Humanities Incubator (2012 – 13),1
Music Theatre Online,A Special MITH *Unconference* DHKeepsOn,1
Music Theatre Online,Digital Humanities Winter Institute,1
Music Theatre Online,Personal Digital Archiving 2013,1
Music Theatre Online,Shared Horizons,1
Music Theatre Online,Topic Modeling,1
Music Theatre Online,Humanities Intensive Learning + Training,1
MITH's Vintage Computers,API Workshop,2
MITH's Vintage Computers,Collaborative Ajax-Based Modeling Platform,1
MITH's Vintage Computers,BitCurator,1
MITH's Vintage Computers,Bill Bly Collection,1
MITH's Vintage Computers,Born-Digital Literary Materials,1
MITH's Vintage Computers,MONK: Humanities Text Mining in the Digital Library,1
MITH's Vintage Computers,Summit Meeting for Planning a Coalition of Digital Humanities Centers,1
MITH's Vintage Computers,Research for 'Mechanisms: New Media and the Forensic Imagination',1
MITH's Vintage Computers,Virtual Lightbox,1
MITH's Vintage Computers,Digital Humanities 2009,1
MITH's Vintage Computers,Computer Forensics and Born-Digital Content,1
MITH's Vintage Computers,Computer Science and the Humanities Then and Now: A Film Screening and Discussion with Andy van Dam,1
MITH's Vintage Computers,"Andrew Blum Lecture: ""The Internet, Really""",1
Foreign Literatures in America,Digital Mishnah,2
Foreign Literatures in America,Collaborative Ajax-Based Modeling Platform,1
Foreign Literatures in America,"Review, Revise, Requery",2
Foreign Literatures in America,Corpora Space,1
Foreign Literatures in America,Active OCR,1
Foreign Literatures in America,Walt Whitman's Annotations,2
Foreign Literatures in America,Princeton Prosody,1
Foreign Literatures in America,Shared Horizons,4
Foreign Literatures in America,Topic Modeling,3
Foreign Literatures in America,ANGLES,3
Foreign Literatures in America,Digital Humanities Data Curation,1
Foreign Literatures in America,"“O Say Can You See”: the Early Washington, D.C. Law and Family Project",2
Foreign Literatures in America,Workset Creation for Scholarly Analysis Project,3
Foreign Literatures in America,Digital Humanities Incubator (2013 – 14),2
Foreign Literatures in America,Transforming The Afro-Caribbean World,2
Foreign Literatures in America,Digital Humanities Incubator (2012 – 13),2
Foreign Literatures in America,Digital Humanities Winter Institute,3
Foreign Literatures in America,Personal Digital Archiving 2013,3
Foreign Literatures in America,Humanities Intensive Learning + Training,2
Foreign Literatures in America,Digital Humanities Incubator 2014–15: Researching Ferguson,2
Foreign Literatures in America,"African American History, Culture and Digital Humanities",2
Foreign Literatures in America,BrailleSC,2
Foreign Literatures in America,Building an Accessible Future for the Humanities,1
Foreign Literatures in America,A Special MITH *Unconference* DHKeepsOn,1
Foreign Literatures in America,BitCurator,1
Foreign Literatures in America,Bill Bly Collection,1
Foreign Literatures in America,Black Gotham Archive,1
Foreign Literatures in America,Infinite Ulysses,1
Foreign Literatures in America,Documenting the Now: Supporting Scholarly Use and Preservation of Social Media Content,1
Foreign Literatures in America,Night Against Hate,1
Early Americas Digital Archive,Narratives That Heal,2
Early Americas Digital Archive,Irish Resources in the Humanities,2
Early Americas Digital Archive,The Thomas MacGreevy Archive,3
Early Americas Digital Archive,The Versioning Machine,4
Early Americas Digital Archive,Virtual Lightbox,3
Early Americas Digital Archive,John Milton's Comus,1
Early Americas Digital Archive,MONK: Humanities Text Mining in the Digital Library,1
Early Americas Digital Archive,Off the Tracks,1
Early Americas Digital Archive,Digital Directions,2
Digital Mishnah,Collaborative Ajax-Based Modeling Platform,2
Digital Mishnah,"Review, Revise, Requery",2
Digital Mishnah,Corpora Space,1
Digital Mishnah,Active OCR,1
Digital Mishnah,Walt Whitman's Annotations,2
Digital Mishnah,Princeton Prosody,1
Digital Mishnah,Shared Horizons,3
Digital Mishnah,Topic Modeling,2
Digital Mishnah,Black Gotham Archive,1
Digital Mishnah,BrailleSC,1
Digital Mishnah,ANGLES,2
Digital Mishnah,Digital Humanities Data Curation,2
Digital Mishnah,"“O Say Can You See”: the Early Washington, D.C. Law and Family Project",2
Digital Mishnah,Building an Accessible Future for the Humanities,1
Digital Mishnah,Workset Creation for Scholarly Analysis Project,2
Digital Mishnah,Transforming The Afro-Caribbean World,2
Digital Mishnah,Digital Humanities Winter Institute,2
Digital Mishnah,Personal Digital Archiving 2013,2
Digital Mishnah,Humanities Intensive Learning + Training,2
Digital Mishnah,Digital Humanities Incubator 2014–15: Researching Ferguson,2
Digital Mishnah,"African American History, Culture and Digital Humanities",2
Digital Mishnah,Digital Humanities Incubator (2013 – 14),1
Digital Mishnah,Digital Humanities Incubator (2012 – 13),1
Dickinson Electronic Archives,DISC: A Disabilities Studies Academic Community,1
Dickinson Electronic Archives,Hughes@100,1
Dickinson Electronic Archives,MONK: Humanities Text Mining in the Digital Library,1
Dickinson Electronic Archives,Women's Studies Database,1
Dickinson Electronic Archives,"Just a Click Away From Home: Ecuadorian Migration, Nostalgia, and Technology in Transnational Times",1
Dickinson Electronic Archives,Learning from Langston Terrace,1
Dickinson Electronic Archives,Gwendolyn Brooks Poetry Slam,1
Collaborative Ajax-Based Modeling Platform,"Review, Revise, Requery",2
Collaborative Ajax-Based Modeling Platform,Corpora Space,2
Collaborative Ajax-Based Modeling Platform,Active OCR,1
Collaborative Ajax-Based Modeling Platform,Walt Whitman's Annotations,1
Collaborative Ajax-Based Modeling Platform,Princeton Prosody,1
Collaborative Ajax-Based Modeling Platform,Shared Horizons,2
Collaborative Ajax-Based Modeling Platform,Topic Modeling,2
Collaborative Ajax-Based Modeling Platform,API Workshop,1
Collaborative Ajax-Based Modeling Platform,Black Gotham Archive,1
Collaborative Ajax-Based Modeling Platform,BrailleSC,1
Collaborative Ajax-Based Modeling Platform,ANGLES,2
Collaborative Ajax-Based Modeling Platform,Digital Humanities Data Curation,1
Collaborative Ajax-Based Modeling Platform,"“O Say Can You See”: the Early Washington, D.C. Law and Family Project",1
Collaborative Ajax-Based Modeling Platform,Building an Accessible Future for the Humanities,1
Collaborative Ajax-Based Modeling Platform,Workset Creation for Scholarly Analysis Project,1
Collaborative Ajax-Based Modeling Platform,Transforming The Afro-Caribbean World,1
Collaborative Ajax-Based Modeling Platform,Digital Humanities Winter Institute,1
Collaborative Ajax-Based Modeling Platform,Personal Digital Archiving 2013,1
Collaborative Ajax-Based Modeling Platform,Humanities Intensive Learning + Training,1
Collaborative Ajax-Based Modeling Platform,Digital Humanities Incubator 2014–15: Researching Ferguson,1
Collaborative Ajax-Based Modeling Platform,"African American History, Culture and Digital Humanities",1
Collaborative Ajax-Based Modeling Platform,Ajax XML Encoder (AXE),1
Collaborative Ajax-Based Modeling Platform,Born-Digital Literary Materials,1
Collaborative Ajax-Based Modeling Platform,"Soweto `76, A Living Digital Archive",2
Collaborative Ajax-Based Modeling Platform,Off the Tracks,1
Collaborative Ajax-Based Modeling Platform,Hughes@100,1
Collaborative Ajax-Based Modeling Platform,MONK: Humanities Text Mining in the Digital Library,1
Collaborative Ajax-Based Modeling Platform,Digital Diasporas,1
BitCurator,Bill Bly Collection,3
BitCurator,Black Gotham Archive,1
BitCurator,"Review, Revise, Requery",1
BitCurator,BrailleSC,1
BitCurator,ANGLES,1
BitCurator,Digital Humanities Winter Institute,1
BitCurator,Personal Digital Archiving 2013,1
BitCurator,Shared Horizons,1
